Idx Definition	Portuguese
1 _NN_No_Item_Space	Não há espaço no inventário.
2 _NN_Select_Other_Server	Selecionar outro servidor?
3 _NN_ID_Is_Short	ID muito curto.
4 _NN_ID_Is_Long	ID muito longo.
5 _NN_Password_Is_Short	Senha muito curta.
6 _NN_Password_Is_Long	Senha muito longa.
7 _NN_Connecting_Server	Conectando no servidor.
8 _NN_Connection_Failed	Falha ao tentar conectar. 
9 _NN_Only_Sign_WebPage	Novo cadastro somente via website.
10 _NN_Sign_Now	Gostaria de se cadastrar?
11 _NN_Select_OtherServer	Selecionar outro servidor?
12 _NN_Disconnected_Retry	Conexão anterior finalizada. Tente novamente.
13 _NN_Server_Disconnected	Foi desconectado do servidor. 
14 _NN_Select_Character	Selecione o personagem.
15 _NN_Name_Length_More_4Byte	Nome deve ter mais de 4 caracteres.
16 _NN_Name_Length_Less_12Byte	Nome deve ter menos de 12 caracteres.
17 _NN_Name_Is_Not_Legal	Nome inadequado.
18 _NN_Confirm_Delete	Deseja realmente excluir?
19 _NN_Same_Name_Or_Not_Legal	Nome inadequado ou já existente.
20 _NN_Fail_To_Delete_Character	Falha ao apagar o personagem.
21 _NN_fail_To_Character_Login	Falha ao logar o personagem.
22 _NN_Exit_Game	Deseja sair do jogo?
23 _NN_Check_Server_Login_Rate	Verificando a conexão.
24 _NN_Select_Server_And_Group	Selecione o canal e o servidor.
25 _NN_Server_Full_Select_Other	Canal escolhido está cheio. Escolha outro canal.
26 _NN_Not_Server_Select_Other	Impossível de conectar. Escolha outro canal.
27 _NN_Return_To_Town	Retornar para a cidade?
28 _NN_Trade	Realizar a troca?
29 _NN_Only_Enter_More_Level_30	Entrada permitida apenas para nível 35 ou inferior.
30 _NN_Not_Enough_Mana	Mana insuficiente.
31 _NN_RButton_Click_In_Party_Window	Selecione o membro do grupo com o botão direito do mouse.
32 _NN_Must_Have_Party_Use_This_Skill	Uso somente quando estiver em grupo.
33 _NN_Cannot_Disturb_Chatting	Por favor não incomode outros jogadores.
34 _NN_Wrong_Coin_Number	Valor de gold incorreto.
35 _NN_You_Already_Trade_Now	Você já está negociando com outra pessoa.
36 _NN_Withdrawaled_In_Guild	Deseja realmente expulsar da Guilda?
37 _NN_Not_Exist_Trader	Negociante não existente.
38 _NN_Not_In_Teleport_Zone	Você não está na zona de teleporte.
39 _NN_Cannot_Up_Stat_Point	Impossível aumentar status.
40 _NN_Cannot_Summon_Self	Impossível convocar a si mesmo.
41 _NN_Wait_2_Seconds_And_Retry	Aguarde 2 segundos e aperte o botão.
42 _NN_PK_Zone_Not_Want_Go_Back	Zona PvP. Retorne se não desejar PvP.
43 _NN_Go_Other_Town	Deseja ir para outra cidade?
44 _NN_Found_AutoMouse	Programa de AutoMouse detectado.
45 _NN_Found_AutoMacro	Programa de AutoMacro detectado.
46 _NN_Try_Guild_War	Solicitar Guerra entre Guildas?
47 _SN_Study_Skill	Aprender Skill %s?
48 _SN_Cannot_Refining	%s (Impossível de Refinar)
49 _DN_Skill_Range	Alcance da Skill : %d
50 _DN_Mana_Spent	Gasto de Mana : %d
51 _DN_Skill_Damage	Dano de Skill : %d
52 _SN_SKill_Property	Propriedades da Skill : %s
53 _SD_Req_Special_Point	Necessita %s Pontos Especiais : %d
54 _DN_Req_Level	Level necessário : %d
55 _SD_Special_Point	%s Pontos Especiais : %d
56 _DN_Two_Hand	(Duas mãos:%d)
57 _DN_Cost	Preço : %d
58 _DN_Sell_Cost	Preço de Venda : %d
59 _DN_Skill_Point	Pontos de Skill : %d
60 _SN_Menu_For_Who	Menu para '%s'
61 _NN_Reply	Responder
62 _SN_He_Or_She_Requested_Party	%s' pediu para entrar no seu grupo.
63 _SN_LButton_Click_Want_Party	Para entrar no grupo, clique '%s' na janela do grupo.
64 _SN_With_He_Or_She	com [%s]
65 _DN_Coin	Gold %d
66 _DN_Server_Group	Canal %d Grupo
67 _NN_Test_Server_Group	Servidor de Teste
68 _DD_Server	%d-%d Canal
69 _DN_Test_Server	Teste-%d Canal
